Processes,Size,Latency
2,4,0.16
3,4,0.33
4,4,0.25
5,4,0.46
6,4,0.64
7,4,0.90
8,4,1.28
9,4,1.70
10,4,1.80
11,4,1.86
12,4,2.08
13,4,2.09
14,4,2.26
15,4,2.36
16,4,2.67
17,4,3.06
18,4,3.26
19,4,3.33
20,4,3.52
21,4,3.56
22,4,3.79
23,4,3.93
24,4,4.28
25,4,4.07
26,4,4.20
27,4,4.34
28,4,4.57
29,4,4.66
30,4,4.79
31,4,5.03
32,4,5.47
33,4,6.07
34,4,5.99
35,4,6.11
36,4,6.39
37,4,6.52
38,4,6.72
39,4,6.96
40,4,7.26
41,4,7.20
42,4,7.31
43,4,7.49
44,4,7.78
45,4,8.60
46,4,8.76
47,4,9.05
48,4,9.69
49,4,9.13
50,4,9.24
51,4,9.05
52,4,9.97
53,4,10.26
54,4,10.38
55,4,10.34
56,4,10.79
57,4,10.55
58,4,10.83
59,4,10.92
60,4,11.36
61,4,11.42
62,4,11.07
63,4,11.74
64,4,11.04
65,4,11.07
66,4,11.43
67,4,11.31
68,4,11.68
69,4,12.02
70,4,12.09
71,4,12.26
72,4,12.64
73,4,12.76
74,4,13.04
75,4,13.15
76,4,13.57
77,4,13.68
78,4,13.98
79,4,13.95
80,4,14.47
81,4,14.47
82,4,14.64
83,4,14.85
84,4,15.23
85,4,15.47
86,4,15.74
87,4,15.79
88,4,16.04
89,4,16.38
90,4,16.59
91,4,16.61
92,4,17.50
93,4,17.35
94,4,17.82
95,4,17.40
96,4,17.64
97,4,17.87
98,4,18.14
99,4,18.10
100,4,18.65
101,4,18.72
102,4,18.89
103,4,18.79
104,4,19.26
105,4,19.51
106,4,19.57
107,4,19.82
108,4,20.44
109,4,20.30
110,4,20.62
111,4,20.60
112,4,20.95
113,4,21.05
114,4,21.22
115,4,21.41
116,4,22.07
117,4,22.31
118,4,22.45
119,4,22.64
120,4,22.71
121,4,23.08
122,4,23.01
123,4,23.17
124,4,23.63
125,4,23.51
126,4,23.90
127,4,22.77
128,4,23.10
129,4,23.06
130,4,23.76
131,4,24.77
132,4,24.45
133,4,25.14
134,4,25.28
135,4,25.89
136,4,26.25
137,4,26.52
138,4,27.75
139,4,28.00
140,4,28.51
141,4,28.86
142,4,29.14
143,4,29.06
144,4,29.68
145,4,28.99
146,4,30.15
147,4,30.77
148,4,31.09
149,4,30.91
150,4,31.29
151,4,31.23
152,4,32.21
153,4,31.83
154,4,32.07
155,4,32.42
156,4,32.91
157,4,32.92
158,4,33.10
159,4,32.88
160,4,34.13
161,4,33.33
162,4,33.45
163,4,33.78
164,4,67.08
165,4,34.37
166,4,34.82
167,4,35.03
168,4,35.10
169,4,35.76
170,4,35.11
171,4,36.32
172,4,36.58
173,4,38.52
174,4,37.26
175,4,37.71
176,4,37.18
177,4,37.21
178,4,38.91
179,4,37.97
180,4,41.22
181,4,38.39
182,4,38.84
183,4,39.42
184,4,40.04
185,4,41.29
186,4,41.09
187,4,45.93
188,4,41.41
189,4,41.54
190,4,41.55
191,4,42.17
192,4,42.51
193,4,41.48
194,4,41.78
195,4,43.04
196,4,42.33
197,4,42.97
198,4,43.10
199,4,43.06
200,4,44.81
201,4,50.48
202,4,42.93
203,4,43.56
204,4,43.71
205,4,43.77
206,4,44.39
207,4,44.95
208,4,47.51
209,4,45.10
210,4,45.07
211,4,45.42
212,4,45.69
213,4,79.89
214,4,46.04
215,4,46.46
216,4,46.25
217,4,46.92
218,4,47.81
219,4,49.48
220,4,47.51
221,4,47.07
222,4,47.21
223,4,47.87
224,4,47.28
225,4,47.78
226,4,47.34
227,4,48.20
228,4,47.89
229,4,47.98
230,4,48.35
231,4,48.62
232,4,48.94
233,4,48.62
234,4,48.86
235,4,48.79
236,4,49.61
237,4,48.69
238,4,49.11
239,4,49.81
240,4,50.39
241,4,49.45
242,4,49.80
243,4,50.01
244,4,50.88
245,4,50.78
246,4,52.79
247,4,50.73
248,4,51.48
249,4,51.09
250,4,51.30
251,4,54.30
252,4,51.48
253,4,51.45
254,4,50.33
255,4,50.14
256,4,28.04
